Frequency (Hz),Channel 1 Magnitude (dB)
871.7395360243044,-0.2064285889720957
886.0349056007474,-0.2170194326693549
900.5647002352288,-0.2288643123935374
915.3327641870768,-0.24118833967383
930.343004756361,-0.2540212438512326
945.5993933176795,-0.2682573812106886
961.1059663708944,-0.282553710846883
976.8668266090987,-0.2990663405305052
992.8861440040995,-0.3162046876264523
1009.168156909698,-0.334437342086169
1025.717173183063,-0.354505637578007
1042.537571324495,-0.3758394571144385
1059.633801635879,-0.3987797964055836
1077.010387398136,-0.4234647379084866
1094.671926067979,-0.4769351130427641
1112.623090494301,-0.5059373041194605
1130.868630154506,-0.5109499078250619
1149.413372411112,-0.5459078922349547
1168.262223788967,-0.5839727569325455
1187.420171273403,-0.6255861892471866
1206.892283629683,-0.6703979556941611
1226.683712744081,-0.7199998336252724
1246.799694986959,-0.7747867165258386
1267.245552598192,-0.8350327712922317
1288.026695095312,-0.902542819416718
1309.148620704751,-0.9769825091201906
1330.616917816542,-1.060794471577861
1352.437266462888,-1.154902134089544
1374.615439820971,-1.259917524874234
1397.1573057404,-1.379180433501945
1420.068828295721,-1.513971430086981
1443.356069364374,-1.667452171428791
1467.025190230529,-1.843685061365457
1491.082453215229,-2.045764596194297
1515.534223333255,-2.279935396356623
1540.386969977171,-2.551501372151483
1565.647268628976,-2.869676151772978
1591.321802599838,-3.24289740000353
1617.417364798341,-3.684384937752521
1643.940859527738,-4.211137593748891
1670.899304312682,-4.842383549515398
1698.2998317559,-5.604278948325026
1726.149691425318,-6.53665593877168
1754.456251772147,-7.688932170329817
1783.227002080395,-9.137656479969522
1812.469554448377,-11.0130039974285
1842.191645802701,-13.53836123659283
1872.401139945285,-17.19795819847602
1903.106029633946,-23.01732085060545
1934.314438697104,-25.65750217970439
1966.034624183166,-19.16003594362568
1998.274978545158,-14.89736567527924
2031.044031861176,-12.0732734415026
2064.35045409126,-10.03244563833817
2098.203057371272,-8.471593114074812
2132.610798344384,-7.246921768878688
2167.582780530811,-6.249143406783854
2203.128256736398,-5.429714805215492
2239.256631500707,-4.747601429386016
2275.977463585247,-4.176047672988425
2313.300468502508,-3.691420620823834
2351.235521086472,-3.278352866019019
2389.792658105268,-2.924935533215223
2428.982080916684,-2.619961056652042
2468.814158167215,-2.355499281395417
2509.29942853537,-2.126521450724046
2550.448603519983,-1.924904280685314
2592.272570274228,-1.7484415512482
2634.782394486115,-1.593089144743891
2677.989323306233,-1.456021691228953
2721.904788323485,-1.333040434460205
2766.540408589638,-1.22461081004299
2811.907993693464,-1.12692501811087
2858.019546885289,-1.03930166922512
2904.887268252793,-0.960434451727909
2952.523557948869,-0.8895244366157723
3000.94101947244,-0.8250288372224378
3050.152463003056,-0.7676791966240544
3100.170908790182,-0.7147035911527455
3151.009590598067,-0.6669501447176562
3202.6819592071,-0.6225871137896928
3255.20168597259,-0.5812091594908437
3308.582666441898,-0.5443193605903306
3362.839024030894,-0.5100728536953958
3417.98511376069,-0.4786231305909815
3474.03552605566,-0.449256116459065
3531.00509060375,-0.4220119526937587
3588.908880280066,-0.3973962357860717
3647.762215134838,-0.3737859063604285
3707.580666446748,-0.3531165866247787
3768.38006084275,-0.3324830166188778
3830.176484485447,-0.3138467616263222
3892.986287329117,-0.2960082877660225
3956.826087445562,-0.2793635239057665
4021.712775420866,-0.2637763686532642
4087.663518824271,-0.2497929976057611
4154.695766750338,-0.2369765647545241
4222.82725443558,-0.222900124387844
4292.076007950815,-0.2104342471268983
4362.46034897046,-0.1996626174020709
4433.998899620033,-0.1902717075436897
4506.710587403162,-0.1778768859940574
4580.614650209372,-0.1688403640707686
4655.730641404,-0.1598938445969213
4732.078435001587,-0.1509934502454826
4809.678230924089,-0.1423958128368138
4888.550560345334,-0.1348058608560969
4968.716291123105,-0.1277097246179267
5050.196633320315,-0.1195636036878702
5133.013144816713,-0.1183110418415914
5217.187737012618,-0.1066393117358021
5302.74268062619,-0.1012086889171099
5389.70061158576,-0.09612592576508226
5478.084537018792,-0.0889077787488563
5567.917841339061,-0.09045121976673606
5659.224292433638,-0.07847984286676503
5752.028047951348,-0.07417930893522445
5846.353661694347,-0.06897909180639231
5942.226090114502,-0.06478648772603178
6039.670698916322,-0.0608502947613911
6138.713269768145,-0.05625642086457927
6239.380007123398,-0.05378087816260294
6341.697545153716,-0.0474696689004943
6445.692954795735,-0.04699242723522201
6551.393750913477,-0.04035208610544516
6658.827899578148,-0.03966112203551679
6768.02382546735,-0.03367887120215445
6879.010419385616,-0.03254988408748213
6991.817045908263,-0.02813032076705929
7106.473551150609,-0.02529269499761989
7223.010270664593,-0.02907605179603272
7341.458037464874,-0.01829442044503735
7461.848190186571,-0.0307492369695357
7584.212581376757,-0.01214347400871965
7708.583585921931,-0.01737595195466491
7834.994109613704,-0.008644805199875281
7963.477597854918,-0.006964004249159675
8094.068044508569,-0.01049695274895949
8226.800000891812,-0.001316111671304266
8361.708584917475,-0.007959418570968282
8498.82949038548,0.002378177659048921
8638.19899642661,0.004943605295685151
8779.853977101175,-0.003509275088692317
8923.83191115505,0.008593404671158199
9070.170891935724,0.008764123460327341
9218.909637470952,0.008289825367487333
9370.087500712669,0.01372121892731449
9523.744479948906,0.01217020571666712
9679.92122938646,0.01592788349255962
9838.659069907066,0.0191438893464474
10000,0.01676546386250667
